sol,food_store_kcal,biomass_store,potable_water_l,o2_level,co2_level,power_level,dry_waste,crew_alive
360,74829.86,0.0,14131.936,9740.122,5000.0,115600.0,0.0,True
365,74828.3,0.0,14126.921,9805.776,5000.0,115600.0,0.0,True
370,74826.266,0.0,14121.906,9871.431,5000.0,115600.0,0.0,True
375,74823.61,0.0,14116.892,9937.085,5000.0,115600.0,0.0,True
380,74820.875,0.0,14111.877,10002.739,5000.0,115600.0,0.0,True
385,74818.22,0.0,14106.862,10068.394,5000.0,115600.0,0.0,True
390,74816.66,0.0,14101.848,10134.048,5000.0,115600.0,0.0,True
395,74814.47,0.0,14096.833,10199.702,5000.0,115600.0,0.0,True
400,74811.734,0.0,14091.818,10265.356,5000.0,115600.0,0.0,True
405,74809.0,0.0,14086.804,10331.011,5000.0,115600.0,0.0,True
410,74806.58,0.0,14081.789,10396.665,5000.0,115600.0,0.0,True
415,74805.016,0.0,14076.774,10462.319,5000.0,115600.0,0.0,True
420,74802.59,0.0,14071.76,10527.974,5000.0,115600.0,0.0,True
425,74799.86,0.0,14066.745,10593.628,5000.0,115600.0,0.0,True
430,74796.93,0.0,14061.73,10659.282,5000.0,115600.0,0.0,True
435,74794.94,0.0,14056.716,10724.937,5000.0,115600.0,0.0,True
440,74793.22,0.0,14051.701,10790.591,5000.0,115600.0,0.0,True
445,74790.72,0.0,14046.687,10856.245,5000.0,115600.0,0.0,True
450,74787.984,0.0,14041.672,10921.899,5000.0,115600.0,0.0,True
455,74784.86,0.0,14036.657,10987.554,5000.0,115600.0,0.0,True
460,74783.3,0.0,14031.643,11053.208,5000.0,115600.0,0.0,True
465,74781.42,0.0,14026.628,11118.862,5000.0,115600.0,0.0,True
470,74778.84,0.0,14021.613,11184.517,5000.0,115600.0,0.0,True
475,74776.11,0.0,14016.599,11250.171,5000.0,115600.0,0.0,True
480,74773.22,0.0,14011.584,11315.825,5000.0,115600.0,0.0,True
485,74771.66,0.0,14006.569,11381.4795,5000.0,115600.0,0.0,True
490,74769.625,0.0,14001.555,11447.134,5000.0,115600.0,0.0,True
495,74766.97,0.0,13996.54,11512.788,5000.0,115600.0,0.0,True
500,74764.234,0.0,13991.525,11578.442,5000.0,115600.0,0.0,True
