sol,food_store_kcal,biomass_store,potable_water_l,o2_level,co2_level,power_level,dry_waste,crew_alive
120,74914.77,0.0,14366.283,6588.775,2304.5505,103600.0,0.0,True
125,74912.43,0.0,14360.844,6654.427,2435.0378,103600.0,0.0,True
130,74909.38,0.0,14355.404,6720.0786,2560.058,103600.0,0.0,True
135,74905.4,0.0,14349.965,6785.7305,2683.5474,103600.0,0.0,True
140,74901.3,0.0,14344.525,6851.3823,2809.7058,103600.0,0.0,True
145,74897.32,0.0,14339.086,6917.034,2943.024,103600.0,0.0,True
150,74894.98,0.0,14333.646,6982.686,3076.8901,103600.0,0.0,True
155,74891.695,0.0,14328.207,7048.338,3205.4187,103600.0,0.0,True
160,74887.59,0.0,14322.768,7113.9897,3333.239,103600.0,0.0,True
165,74883.49,0.0,14317.328,7179.6416,3463.615,103600.0,0.0,True
170,74879.87,0.0,14311.889,7245.2935,3602.043,103600.0,0.0,True
175,74877.52,0.0,14306.449,7310.9453,3737.81,103600.0,0.0,True
180,74873.89,0.0,14301.01,7376.597,3868.5906,103600.0,0.0,True
185,74869.79,0.0,14295.57,7442.249,3999.659,103600.0,0.0,True
190,74865.4,0.0,14290.131,7507.901,4133.0454,103600.0,0.0,True
195,74862.414,0.0,14284.691,7573.5527,4275.1074,103600.0,0.0,True
200,74859.836,0.0,14279.252,7639.2046,4411.7695,103600.0,0.0,True
205,74856.086,0.0,14273.8125,7704.8564,4544.1953,103600.0,0.0,True
210,74851.984,0.0,14268.373,7770.5083,4677.6157,103600.0,0.0,True
215,74847.305,0.0,14262.934,7836.16,4814.1533,103600.0,0.0,True
220,74844.96,0.0,14257.494,7901.812,4957.7603,103600.0,0.0,True
225,74842.15,0.0,14252.055,7967.464,5000.0,103600.0,0.0,True
230,74838.28,0.0,14246.615,8033.1157,5000.0,103600.0,0.0,True
235,74834.18,0.0,14241.176,8098.7676,5000.0,103600.0,0.0,True
240,74829.85,0.0,14235.736,8164.4194,5000.0,103600.0,0.0,True
245,74827.51,0.0,14230.297,8230.073,5000.0,103600.0,0.0,True
250,74824.46,0.0,14224.857,8295.728,5000.0,103600.0,0.0,True
255,74820.48,0.0,14219.418,8361.382,5000.0,103600.0,0.0,True
260,74816.375,0.0,14213.979,8427.036,5000.0,103600.0,0.0,True
265,74812.4,0.0,14208.539,8492.69,5000.0,103600.0,0.0,True
270,74810.055,0.0,14203.1,8558.345,5000.0,103600.0,0.0,True
275,74806.77,0.0,14197.66,8623.999,5000.0,103600.0,0.0,True
280,74802.67,0.0,14192.221,8689.653,5000.0,103600.0,0.0,True
285,74798.57,0.0,14186.781,8755.308,5000.0,103600.0,0.0,True
290,74794.945,0.0,14181.342,8820.962,5000.0,103600.0,0.0,True
295,74792.6,0.0,14175.902,8886.616,5000.0,103600.0,0.0,True
300,74788.97,0.0,14170.463,8952.2705,5000.0,103600.0,0.0,True
305,74784.87,0.0,14165.023,9017.925,5000.0,103600.0,0.0,True
310,74780.48,0.0,14159.584,9083.579,5000.0,103600.0,0.0,True
315,74777.49,0.0,14154.145,9149.233,5000.0,103600.0,0.0,True
320,74774.914,0.0,14148.705,9214.888,5000.0,103600.0,0.0,True
325,74771.164,0.0,14143.266,9280.542,5000.0,103600.0,0.0,True
330,74767.06,0.0,14137.826,9346.196,5000.0,103600.0,0.0,True
335,74762.38,0.0,14132.387,9411.851,5000.0,103600.0,0.0,True
340,74760.04,0.0,14126.947,9477.505,5000.0,103600.0,0.0,True
345,74757.23,0.0,14121.508,9543.159,5000.0,103600.0,0.0,True
350,74753.36,0.0,14116.068,9608.813,5000.0,103600.0,0.0,True
355,74749.26,0.0,14110.629,9674.468,5000.0,103600.0,0.0,True
360,74744.93,0.0,14105.189,9740.122,5000.0,103600.0,0.0,True
365,74742.586,0.0,14099.75,9805.776,5000.0,103600.0,0.0,True
370,74739.54,0.0,14094.311,9871.431,5000.0,103600.0,0.0,True
375,74736.76,0.0,14088.413,9950.216,5000.0,103600.0,0.0,False
